pair_id,problem_id,problem_unchanged,prefix_unchanged,single_local_edit,reference_continuation_available,control_replacement_restores_path,downstream_information_preserved,structurally_recoverable,notes
pair_math500_281,math500_281,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_282,math500_282,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_283,math500_283,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_284,math500_284,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_286,math500_286,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_287,math500_287,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_288,math500_288,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_289,math500_289,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_290,math500_290,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_291,math500_291,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_293,math500_293,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_294,math500_294,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_295,math500_295,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_296,math500_296,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_297,math500_297,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_298,math500_298,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_299,math500_299,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_300,math500_300,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_301,math500_301,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_302,math500_302,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_303,math500_303,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_304,math500_304,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_305,math500_305,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_306,math500_306,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_307,math500_307,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_308,math500_308,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_309,math500_309,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_310,math500_310,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_312,math500_312,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_313,math500_313,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_314,math500_314,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_315,math500_315,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_316,math500_316,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_317,math500_317,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_318,math500_318,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_319,math500_319,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_320,math500_320,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_321,math500_321,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_322,math500_322,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_323,math500_323,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_324,math500_324,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_325,math500_325,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_326,math500_326,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_327,math500_327,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_328,math500_328,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_329,math500_329,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_330,math500_330,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_331,math500_331,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_332,math500_332,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_333,math500_333,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_334,math500_334,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_335,math500_335,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_337,math500_337,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_338,math500_338,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_339,math500_339,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_340,math500_340,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_341,math500_341,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_342,math500_342,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_343,math500_343,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_344,math500_344,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_345,math500_345,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_346,math500_346,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_347,math500_347,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_349,math500_349,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_350,math500_350,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_351,math500_351,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_352,math500_352,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_353,math500_353,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_354,math500_354,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_355,math500_355,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_356,math500_356,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_357,math500_357,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_358,math500_358,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_359,math500_359,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_360,math500_360,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_361,math500_361,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_363,math500_363,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_364,math500_364,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_365,math500_365,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_366,math500_366,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_367,math500_367,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_368,math500_368,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_369,math500_369,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_370,math500_370,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_371,math500_371,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_372,math500_372,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_373,math500_373,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_374,math500_374,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_375,math500_375,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_376,math500_376,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_377,math500_377,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_378,math500_378,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_379,math500_379,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_380,math500_380,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_381,math500_381,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_382,math500_382,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_383,math500_383,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_384,math500_384,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_385,math500_385,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_386,math500_386,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_387,math500_387,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_388,math500_388,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_389,math500_389,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_390,math500_390,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_391,math500_391,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_392,math500_392,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_393,math500_393,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_394,math500_394,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_395,math500_395,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_396,math500_396,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_397,math500_397,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_398,math500_398,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_399,math500_399,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_400,math500_400,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_401,math500_401,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_402,math500_402,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_403,math500_403,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_404,math500_404,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_405,math500_405,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_406,math500_406,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_407,math500_407,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_408,math500_408,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_409,math500_409,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_410,math500_410,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_411,math500_411,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_413,math500_413,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_414,math500_414,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_416,math500_416,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_417,math500_417,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_418,math500_418,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_419,math500_419,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_420,math500_420,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_421,math500_421,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_422,math500_422,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_423,math500_423,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_425,math500_425,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_426,math500_426,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_427,math500_427,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_428,math500_428,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_429,math500_429,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_430,math500_430,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_432,math500_432,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_433,math500_433,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_434,math500_434,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_435,math500_435,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_436,math500_436,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_437,math500_437,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_438,math500_438,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_439,math500_439,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_440,math500_440,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_441,math500_441,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_442,math500_442,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_443,math500_443,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_444,math500_444,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_445,math500_445,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_447,math500_447,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_448,math500_448,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_449,math500_449,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_450,math500_450,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_451,math500_451,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_452,math500_452,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_453,math500_453,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_454,math500_454,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_455,math500_455,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_456,math500_456,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_457,math500_457,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_458,math500_458,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_459,math500_459,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_460,math500_460,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_461,math500_461,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_462,math500_462,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_463,math500_463,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_464,math500_464,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_465,math500_465,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_466,math500_466,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_467,math500_467,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_468,math500_468,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_469,math500_469,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_470,math500_470,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_471,math500_471,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_472,math500_472,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_473,math500_473,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_474,math500_474,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_475,math500_475,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_476,math500_476,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_477,math500_477,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_478,math500_478,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_479,math500_479,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_480,math500_480,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_481,math500_481,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_482,math500_482,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_483,math500_483,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_484,math500_484,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_485,math500_485,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_486,math500_486,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_487,math500_487,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_488,math500_488,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_489,math500_489,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_490,math500_490,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_491,math500_491,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_493,math500_493,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_494,math500_494,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_495,math500_495,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_496,math500_496,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_497,math500_497,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_498,math500_498,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
pair_math500_499,math500_499,YES,YES,YES,YES,YES,YES,YES,Task state path structurally recoverable upon local error correction.
